user_id,campaign,age,income,region,impression,ad_spend,converted
147,B,28,1172,Urban,1,4.11,0
148,A,65,657,Rural,1,1.04,1
149,A,37,5222,Urban,0,3.91,0
150,A,53,2643,Rural,1,2.08,0
151,B,34,1674,Urban,1,5.65,0
152,B,62,1628,Urban,1,7.31,0
153,A,28,3201,Urban,1,4.06,0
154,B,47,2526,Urban,1,6.1,1
155,B,52,696,Rural,1,3.96,0
156,B,58,4037,Urban,1,9.75,0
157,B,55,3401,Urban,1,6.94,0
158,A,39,5207,Rural,1,2.57,0
159,B,60,4368,Urban,1,5.49,1
160,A,65,500,Rural,1,2.52,0
161,A,44,4700,Urban,1,4.6,0
162,A,54,4448,Urban,0,4.56,0
163,B,63,2116,Urban,1,9.36,0
164,A,52,2480,Rural,1,1.47,0
165,A,21,3494,Urban,1,3.47,0
166,A,33,1782,Rural,1,1.17,0
167,B,33,2708,Rural,1,4.18,0
168,B,38,4200,Urban,1,9.06,0
169,B,43,3621,Urban,1,6.44,0
170,A,53,2199,Rural,0,1.71,0
171,A,36,4227,Urban,1,4.63,0
172,B,34,3363,Urban,0,4.45,0
173,B,62,3322,Urban,1,5.76,0
174,B,43,2382,Rural,0,3.1,0
175,A,39,2992,Rural,1,2.04,0
176,A,45,2071,Urban,0,3.91,1
177,A,18,671,Urban,1,2.83,0
178,B,61,2664,Rural,0,3.62,1
179,A,53,2853,Urban,1,5.7,0
180,B,60,3164,Rural,1,2.08,0
181,B,54,4454,Urban,1,8.08,0
182,A,19,2217,Rural,1,2.25,0
183,B,34,2558,Rural,1,4.77,0
184,A,57,3919,Urban,0,4.58,0
185,B,55,2096,Urban,1,7.75,0
186,B,38,3184,Urban,0,8.62,1
187,A,26,2510,Urban,0,3.07,1
188,B,30,2707,Urban,1,7.57,0
189,A,28,3909,Urban,1,4.08,0
190,A,33,2551,Urban,1,3.75,0
191,B,33,3948,Urban,1,4.48,0
192,A,19,657,Rural,1,1.59,1
193,A,59,1284,Urban,1,3.12,0
194,A,61,500,Urban,1,4.9,0
195,B,25,1601,Urban,1,9.52,0
196,A,60,5228,Rural,1,1.46,0
197,A,59,2978,Urban,1,2.3,0
198,A,30,2134,Urban,0,6.0,0
199,A,34,3939,Urban,1,4.76,0
200,A,56,4108,Rural,1,2.77,0
201,B,41,1534,Rural,1,2.43,1
202,B,20,5997,Urban,1,8.8,1
203,A,47,3331,Urban,1,5.25,0
204,A,30,3482,Urban,1,2.61,0
205,B,36,3596,Rural,1,2.48,0
206,A,24,3594,Urban,0,3.18,0
207,B,26,2254,Urban,0,5.3,0
208,A,36,5535,Urban,1,5.9,1
209,B,62,2657,Rural,1,3.09,0
210,A,57,4149,Urban,1,5.05,0
211,A,39,2430,Urban,1,5.22,0
212,B,35,2217,Urban,1,6.32,0
213,B,40,5282,Urban,1,8.1,0
214,B,19,2869,Urban,1,4.65,0
215,B,28,2959,Urban,0,6.38,1
216,B,48,3340,Urban,1,9.8,0
217,B,50,6122,Urban,1,5.01,0
218,B,31,5602,Urban,1,6.31,0
219,B,33,4540,Urban,1,8.74,1
220,A,28,6424,Urban,0,4.66,0
221,B,50,1866,Urban,0,7.79,0
222,B,24,3787,Urban,1,9.12,0
223,B,48,3090,Urban,1,4.17,0
224,A,65,877,Urban,1,5.08,0
225,B,63,3555,Urban,1,9.3,1
226,A,64,2411,Urban,0,2.06,0
227,B,31,4840,Rural,1,3.68,0
228,B,45,2525,Urban,1,6.09,1
229,A,60,2457,Urban,1,2.2,1
230,B,33,4839,Urban,1,6.51,0
231,A,36,2921,Urban,1,4.58,0
232,A,34,4395,Urban,1,5.68,0
233,B,43,3509,Rural,1,3.86,0
234,B,23,3525,Urban,1,9.14,0
235,A,60,2707,Urban,1,2.49,0
236,B,26,3602,Rural,0,2.63,0
237,A,34,2842,Urban,0,5.88,0
238,A,48,2035,Urban,1,5.55,0
239,B,29,2874,Urban,0,5.41,0
240,B,40,4545,Urban,0,7.73,0
241,B,22,3643,Urban,1,6.18,1
242,A,60,3922,Urban,1,3.87,1
243,A,53,3001,Urban,1,5.44,0
244,A,53,674,Rural,1,2.47,0
245,A,20,1534,Rural,1,1.48,0
246,A,41,2653,Rural,1,1.63,0
247,B,34,1637,Rural,0,2.87,1
248,A,56,2370,Urban,1,5.12,0
249,A,43,2327,Urban,1,3.96,0
250,A,21,2363,Urban,1,5.8,0
251,B,62,4724,Rural,1,4.45,0
252,A,29,2936,Urban,1,2.84,0
253,B,18,4121,Urban,1,8.72,1
254,B,38,3196,Rural,1,3.52,1
255,A,36,4698,Rural,0,1.51,0
256,B,38,4225,Rural,1,3.09,1
257,A,35,2290,Urban,1,5.89,1
258,B,60,5353,Urban,1,6.9,0
259,A,20,2454,Urban,1,4.88,0
260,A,61,3240,Urban,1,3.91,0
261,A,49,3452,Urban,1,3.49,0
262,B,27,3586,Urban,0,8.78,0
263,B,57,3955,Urban,1,9.09,0
264,A,32,2091,Urban,1,2.29,0
265,A,22,3854,Rural,1,1.56,0
266,B,21,3697,Rural,1,3.52,0
267,B,45,3000,Urban,0,5.9,0
268,A,21,2772,Urban,1,5.13,0
269,A,32,2030,Urban,1,2.46,0
270,A,34,3576,Urban,0,5.19,0
271,A,61,2207,Rural,1,2.24,0
272,B,20,3285,Rural,1,2.87,1
273,B,27,2878,Rural,1,3.03,1
274,B,64,1399,Urban,1,5.1,0
275,A,59,1879,Rural,1,1.51,0
276,B,40,3485,Urban,1,8.3,0
277,B,35,2370,Urban,0,6.26,0
278,A,18,2329,Urban,1,4.75,0
279,B,52,2083,Rural,1,3.54,0
280,B,48,2123,Urban,1,4.87,0
281,B,61,4971,Urban,1,6.99,0
282,A,18,1656,Urban,1,5.03,0
283,B,20,4767,Urban,1,5.79,1
284,B,20,2603,Urban,1,7.89,0
285,B,54,2215,Urban,1,5.19,0
286,B,36,3460,Urban,1,4.81,0
287,A,46,3063,Urban,0,3.44,0
288,A,42,2763,Urban,1,3.56,0
289,A,50,3263,Urban,1,5.04,0
290,A,53,3044,Urban,1,3.84,1
291,B,46,2741,Rural,1,2.24,0
292,B,43,4122,Urban,1,7.8,1
293,B,21,1263,Urban,1,6.82,0
294,A,31,1902,Urban,1,3.33,0
295,B,44,2054,Urban,1,8.81,0
296,B,50,1730,Rural,1,2.46,1
297,B,39,3103,Urban,1,9.48,0
298,B,65,3606,Urban,1,6.0,0
299,A,20,644,Urban,1,3.84,0
300,B,40,2431,Urban,1,9.58,0
301,B,38,2614,Urban,0,8.57,0
302,A,58,2656,Rural,1,1.15,0
303,B,40,1457,Rural,1,3.73,0
304,A,21,2624,Urban,1,3.24,0
305,A,38,1906,Urban,1,4.03,0
306,B,54,2598,Rural,1,4.23,0
307,B,60,936,Urban,0,6.98,0
308,B,48,2606,Urban,1,4.43,1
309,A,38,2137,Urban,1,4.12,0
310,B,43,2685,Urban,0,4.14,0
311,B,58,3360,Rural,0,3.05,0
312,B,52,2946,Rural,1,3.43,0
313,B,55,3952,Rural,1,3.93,0
314,B,41,2567,Urban,1,7.04,0
315,A,28,3742,Rural,0,1.3,0
316,B,58,4349,Urban,1,9.59,0
317,A,46,3328,Urban,0,4.6,1
318,B,64,2975,Urban,1,5.9,0
319,B,20,3497,Urban,1,9.8,0
320,B,18,3370,Urban,1,9.3,0
321,B,36,4201,Rural,1,2.43,0
322,A,63,3952,Urban,0,4.62,0
323,B,39,3966,Urban,1,7.36,1
324,B,31,3052,Rural,1,2.58,0
325,B,31,3409,Rural,1,2.7,0
326,B,61,3387,Urban,1,7.38,1
327,A,33,1551,Urban,1,3.29,0
328,B,50,4282,Rural,0,4.5,0
329,B,30,996,Rural,1,2.29,0
330,A,55,3854,Urban,1,5.66,0
331,A,29,3320,Urban,1,5.36,0
332,A,55,2658,Urban,1,4.95,0
333,A,56,3469,Rural,1,1.53,0
334,A,50,3502,Urban,0,4.86,0
335,B,50,1430,Urban,1,6.63,0
336,A,46,4699,Rural,1,2.27,0
337,A,22,3086,Urban,1,3.25,0
338,B,23,5777,Rural,1,4.51,0
339,B,48,3947,Urban,1,4.24,0
340,A,33,3059,Urban,1,4.77,1
341,B,48,2171,Urban,1,8.97,0
342,B,42,2866,Rural,1,3.94,0
343,A,65,3179,Rural,1,1.38,0
344,B,63,4758,Rural,1,2.85,0
345,B,50,4471,Urban,1,7.09,0
346,A,30,3541,Urban,1,3.32,0
347,A,27,5123,Urban,1,2.02,0
348,B,41,580,Urban,1,4.24,0
349,B,27,3555,Urban,1,8.61,0
350,B,58,4506,Rural,1,2.25,0
351,B,48,3656,Urban,1,9.57,1
352,A,30,1400,Rural,1,1.89,0
353,A,20,4667,Rural,0,2.52,0
354,A,51,3913,Urban,1,2.5,0
355,B,45,3411,Rural,1,4.78,0
356,A,36,3106,Urban,1,2.14,0
357,B,40,5392,Rural,1,2.13,0
358,A,62,3533,Urban,1,2.22,0
359,B,49,2709,Urban,1,4.62,1
360,A,30,2026,Urban,1,3.95,0
361,A,50,3909,Rural,1,2.58,0
362,B,51,4183,Rural,1,2.85,0
363,A,50,3067,Urban,1,4.98,0
364,B,22,2330,Rural,0,4.32,0
365,B,20,4596,Urban,1,9.45,0
366,B,24,1935,Rural,1,2.45,0
367,B,41,5363,Urban,1,4.81,0
368,B,39,2118,Urban,0,4.73,0
369,A,62,1466,Urban,1,3.44,0
370,A,40,1619,Urban,1,3.96,0
371,A,47,1668,Urban,1,3.85,0
372,B,35,2716,Urban,1,5.54,0
373,A,49,2438,Urban,0,4.49,0
374,A,24,4229,Urban,1,3.35,0
375,A,50,4058,Rural,0,1.73,0
376,B,22,2731,Urban,0,4.63,0
377,B,45,6724,Urban,0,7.55,0
378,A,25,2715,Urban,1,4.62,0
379,A,32,2875,Urban,0,5.03,1
380,A,21,1467,Rural,1,2.81,0
381,B,51,2903,Rural,1,4.3,0
382,B,22,3356,Urban,1,5.41,1
383,A,50,1578,Urban,1,2.94,0
384,A,22,2401,Rural,1,2.83,0
385,A,55,3392,Rural,1,2.58,0
386,B,51,2370,Urban,1,8.69,0
387,B,43,2119,Urban,1,8.32,0
388,A,18,3938,Urban,0,3.07,0
389,A,21,1461,Urban,1,5.39,0
390,A,56,1694,Rural,0,1.29,0
391,B,43,3212,Urban,1,6.1,0
392,B,50,4015,Urban,0,6.08,0
393,A,50,3366,Urban,1,4.24,0
394,A,25,2731,Urban,0,3.85,0
395,B,37,2633,Urban,1,6.76,1
396,B,33,4212,Urban,0,7.32,1
397,B,38,4030,Rural,1,3.25,0
398,A,62,3059,Urban,1,3.0,0
399,A,43,2666,Urban,1,4.66,0
400,A,40,3042,Urban,0,5.16,0
401,A,35,2127,Urban,0,3.92,0
402,B,48,2819,Urban,1,7.9,0
403,B,59,2412,Urban,1,7.21,0
404,B,29,2878,Rural,1,2.18,0
405,A,18,2455,Urban,1,3.69,0
406,A,59,3628,Rural,1,1.02,0
407,A,26,3982,Urban,1,4.65,0
408,B,20,2544,Urban,1,7.05,0
409,A,43,2025,Urban,1,2.51,0
410,A,26,3853,Urban,1,4.17,0
411,B,59,3221,Urban,1,9.39,0
412,A,33,2559,Urban,1,3.36,0
413,A,41,4650,Urban,1,5.93,1
414,B,31,2321,Urban,1,9.76,0
415,B,20,608,Urban,1,8.71,0
416,B,51,2150,Rural,1,4.44,0
417,A,50,4942,Rural,1,1.82,0
418,A,41,2618,Urban,0,3.61,0
419,B,26,2381,Urban,1,9.73,0
420,B,30,3031,Urban,1,6.2,1
421,B,19,4213,Urban,1,4.58,0
422,A,24,2900,Rural,1,1.31,1
423,A,65,3709,Urban,1,4.84,0
424,B,38,2772,Urban,1,6.3,0
425,B,36,3719,Rural,1,2.6,0
426,B,42,3216,Rural,1,4.44,0
427,B,64,2522,Rural,1,3.47,0
428,A,39,3309,Rural,1,2.14,0
429,B,28,2348,Rural,1,2.46,0
430,B,50,1346,Urban,1,5.16,0
431,A,49,2976,Urban,1,2.5,0
432,A,38,1452,Urban,1,4.06,0
433,A,56,3716,Urban,1,5.1,0
434,A,37,2955,Rural,0,2.46,0
435,B,25,4707,Urban,0,5.57,0
436,A,59,2603,Urban,1,5.41,0
437,B,54,2975,Urban,1,4.63,0
438,A,26,1236,Urban,0,2.46,0
439,A,42,1675,Rural,0,2.7,0
440,B,42,985,Urban,1,5.47,1
441,B,50,4292,Urban,1,8.25,0
442,B,19,2448,Urban,0,4.05,1
443,B,36,4592,Urban,1,4.56,0
444,A,63,500,Rural,0,2.22,0
445,A,37,4857,Urban,1,2.73,0
446,B,59,2918,Rural,0,2.08,0
447,B,58,3407,Rural,1,3.4,1
448,B,59,1724,Rural,1,2.99,0
449,A,46,3632,Urban,0,5.21,0
450,A,23,2551,Rural,1,2.64,0
451,A,34,1567,Urban,1,4.46,0
452,B,42,1550,Rural,0,2.88,0
453,A,55,1529,Rural,1,1.92,0
454,B,21,3456,Rural,1,4.11,1
455,A,47,2237,Rural,1,1.14,0
456,A,37,1031,Urban,1,3.33,0
457,A,20,3443,Urban,1,5.29,0
458,B,40,500,Urban,0,6.44,0
459,A,35,4594,Rural,1,2.25,0
460,A,43,5383,Urban,1,2.39,0
461,B,53,1425,Urban,1,8.66,1
462,B,25,4262,Urban,0,4.6,0
463,A,34,3418,Urban,1,5.45,0
464,B,48,2399,Rural,0,2.32,0
465,B,54,2455,Urban,0,9.35,0
466,B,62,3785,Rural,1,3.09,1
467,B,50,2952,Urban,1,7.75,0
468,A,44,500,Rural,1,2.69,0
469,A,62,5487,Urban,1,2.04,0
470,A,21,3519,Urban,1,3.06,0
471,A,39,2937,Rural,0,2.82,0
472,A,43,2137,Urban,1,3.55,0
473,B,49,2773,Urban,1,8.24,0
474,B,41,4523,Urban,1,4.84,0
475,A,63,3313,Urban,1,4.71,0
476,B,52,3450,Urban,1,4.44,0
477,B,54,1500,Urban,1,8.3,0
478,B,49,2580,Urban,1,5.94,0
479,A,24,3061,Urban,0,3.86,0
480,B,50,3835,Urban,1,5.0,0
481,A,48,2501,Urban,0,4.51,0
482,A,29,4113,Rural,1,1.68,0
483,A,28,1626,Urban,0,3.53,0
484,A,41,3083,Rural,0,2.3,1
485,A,25,2882,Urban,1,2.72,0
486,B,49,1181,Urban,1,9.11,0
487,B,55,2942,Urban,1,8.44,0
488,A,39,2300,Urban,1,4.31,0
489,A,51,4696,Urban,1,2.51,0
490,A,36,2507,Urban,1,4.75,0
491,A,37,3421,Rural,1,1.04,0
492,B,31,1522,Urban,1,8.83,0
493,B,50,3283,Rural,1,2.91,1
494,B,27,2501,Rural,1,2.35,0
495,A,33,2068,Urban,1,2.66,0
496,B,21,6400,Urban,1,9.78,1
497,B,44,2575,Urban,1,8.64,0
498,A,45,2745,Urban,0,2.95,0
499,A,60,4082,Urban,1,5.85,0
500,B,33,2077,Rural,1,2.42,0
501,B,50,3483,Rural,1,4.2,0
502,B,65,3612,Rural,0,3.97,0
503,B,36,3293,Urban,1,8.93,1
504,B,38,5755,Urban,0,6.29,0
505,A,39,2034,Urban,1,3.61,1
506,A,26,4845,Urban,1,4.5,0
507,B,26,3566,Urban,1,6.39,0
508,B,26,4091,Urban,1,4.25,0
509,A,44,3409,Rural,1,2.46,0
510,A,34,5253,Rural,0,2.28,0
511,A,61,2615,Urban,1,3.69,0
512,A,62,3596,Rural,1,1.61,0
513,B,25,4566,Urban,1,5.92,0
514,B,33,2329,Urban,0,8.45,0
515,B,35,4200,Rural,1,4.19,0
516,A,50,2977,Rural,1,2.64,0
517,B,18,1518,Urban,1,8.57,0
518,B,29,1258,Urban,0,8.55,1
519,A,23,2891,Rural,1,1.5,0
520,B,58,4189,Urban,1,4.61,1
521,B,22,505,Urban,1,8.57,0
522,B,33,3240,Urban,1,4.59,0
523,A,35,4070,Rural,1,2.96,0
524,A,35,1466,Urban,1,5.5,0
525,A,18,2239,Rural,1,2.07,0
526,A,36,3686,Urban,1,3.41,0
527,A,25,4018,Urban,1,4.11,0
528,B,20,4924,Rural,1,4.2,0
529,A,42,2296,Urban,1,5.03,0
530,A,22,2021,Urban,1,2.29,0
531,A,57,4983,Urban,1,5.22,0
532,B,36,2094,Rural,1,3.92,0
533,A,35,3608,Urban,1,2.16,0
534,B,48,5619,Urban,1,5.88,1
535,A,50,3903,Urban,1,4.04,0
536,B,64,3939,Urban,1,5.13,0
537,B,35,4533,Urban,1,4.93,0
538,A,56,3629,Rural,0,1.03,0
539,A,33,3945,Urban,1,5.65,0
540,B,33,2588,Urban,1,4.34,0
541,B,64,4391,Urban,0,6.2,0
542,A,55,3496,Rural,1,1.41,0
543,B,58,1226,Urban,1,8.45,0
544,B,24,3291,Urban,1,8.24,0
545,B,31,500,Rural,1,4.42,0
546,B,60,3856,Urban,0,7.7,0
547,A,65,2719,Urban,0,4.37,0
548,B,42,5286,Urban,1,6.44,1
549,B,49,3587,Rural,0,3.91,0
550,A,55,4109,Urban,1,2.46,0
551,A,39,1740,Rural,1,2.37,0
552,B,33,3821,Urban,1,4.62,0
553,A,46,2231,Urban,1,5.45,0
554,A,33,4308,Urban,1,4.02,0
555,B,29,1657,Rural,1,3.59,0
556,B,34,3131,Urban,1,7.51,1
557,B,54,1610,Urban,1,8.66,0
558,B,44,3150,Urban,1,6.87,0
559,B,42,5426,Urban,0,6.57,0
560,A,30,3865,Urban,1,3.15,0
561,B,25,2960,Urban,0,4.77,0
562,B,22,500,Urban,1,5.14,0
563,A,29,2357,Urban,0,2.0,0
564,B,58,3569,Rural,1,4.61,1
565,B,20,2386,Rural,0,4.29,1
566,A,52,4712,Urban,1,2.87,0
567,A,50,3085,Urban,1,2.01,0
568,B,39,4294,Urban,1,6.95,0
569,A,61,3245,Urban,0,3.65,0
570,A,26,2668,Urban,0,5.1,0
571,A,58,2434,Urban,1,3.61,0
572,B,35,1785,Rural,1,4.59,0
573,B,46,4315,Urban,1,4.58,0
574,A,56,2486,Urban,0,3.46,0
575,B,44,3626,Urban,1,9.6,0
576,B,53,2369,Urban,0,4.07,0
577,B,62,1700,Rural,1,3.17,0
578,B,34,3666,Urban,0,5.56,1
579,B,51,2103,Rural,1,3.6,0
580,B,63,2519,Urban,1,5.67,0
581,B,20,1501,Urban,1,9.22,0
582,A,22,2408,Rural,1,2.87,0
583,B,31,3028,Urban,1,9.09,0
584,A,20,2655,Urban,0,3.59,0
585,A,40,3981,Rural,1,2.98,0
586,A,56,3174,Urban,1,4.94,0
587,B,47,6704,Urban,0,6.13,0
588,B,62,3509,Urban,1,4.56,0
589,A,40,917,Urban,0,4.67,0
590,A,44,2744,Urban,0,4.91,1
591,A,27,2848,Rural,0,1.24,1
592,B,42,2263,Urban,1,7.3,0
593,B,30,3087,Urban,1,9.92,0
594,B,33,2227,Urban,1,5.96,0
595,A,58,3399,Urban,1,3.21,0
596,B,51,709,Urban,1,9.42,1
597,B,54,4372,Urban,0,4.7,0
598,A,39,1106,Rural,1,2.87,0
599,A,34,2683,Urban,1,5.12,0
600,A,40,2120,Urban,1,3.56,0
601,A,53,3367,Urban,1,2.33,0
602,B,26,2780,Urban,1,4.12,0
603,B,19,3301,Rural,1,3.13,0
604,A,49,4333,Urban,1,4.82,1
605,A,39,3922,Urban,1,3.95,0
606,A,60,3043,Urban,1,4.95,0
607,A,30,3551,Urban,1,4.68,0
608,B,25,5352,Rural,0,3.72,0
609,B,18,3965,Urban,0,9.8,0
610,B,34,2647,Urban,1,8.37,0
611,B,29,4533,Urban,1,9.49,0
612,A,21,3469,Urban,0,2.97,0
613,A,30,1844,Urban,1,4.85,0
614,A,48,2783,Rural,1,2.2,0
615,A,58,1233,Urban,1,5.7,0
616,B,24,500,Rural,1,3.53,0
617,A,40,1861,Urban,0,3.12,1
618,A,41,3147,Rural,1,1.77,0
619,B,22,3150,Urban,1,5.31,0
620,A,22,1306,Urban,1,2.88,0
621,A,34,500,Rural,0,1.94,0
622,A,47,4764,Urban,0,5.57,0
623,B,26,3114,Urban,1,5.15,0
624,A,23,4866,Rural,0,1.58,0
625,A,42,4798,Urban,1,5.41,0
626,B,36,3881,Urban,1,6.04,0
627,A,33,3070,Rural,1,2.92,0
628,A,38,2522,Rural,1,1.54,0
629,A,19,3862,Rural,1,1.88,0
630,B,27,2808,Urban,0,4.57,0
631,A,33,2292,Urban,1,5.97,1
632,A,54,500,Rural,1,2.78,0
633,B,32,2900,Urban,1,8.91,0
634,A,30,4316,Rural,1,1.31,0
635,B,30,4511,Urban,1,9.82,0
636,B,49,3063,Urban,1,9.57,0
637,A,62,1933,Urban,1,3.74,0
638,B,64,4083,Rural,1,4.04,0
639,B,63,2981,Urban,1,9.95,0
640,A,25,2561,Rural,1,1.82,1
641,A,60,1252,Rural,1,1.23,0
642,B,35,5524,Rural,1,4.6,0
643,B,53,3886,Rural,1,3.43,1
644,A,43,4015,Rural,1,2.97,0
645,A,27,1964,Rural,1,2.1,0
646,B,48,3095,Urban,0,4.18,0
647,B,50,2902,Urban,1,6.95,1
648,A,46,3938,Urban,1,4.87,0
649,A,22,4631,Urban,1,2.1,0
650,A,30,1278,Urban,1,3.65,0
651,A,18,1710,Urban,1,2.62,0
652,B,40,3774,Rural,1,3.93,0
653,A,57,2390,Urban,1,5.83,0
654,A,20,3977,Urban,1,4.5,0
655,B,20,2552,Rural,1,4.08,0
656,B,24,1501,Urban,1,6.38,0
657,A,53,888,Urban,1,4.25,0
658,B,52,3580,Rural,1,3.63,0
659,B,32,3610,Urban,0,8.56,0
660,A,57,4164,Urban,1,5.43,0
661,A,20,3393,Urban,0,4.65,0
662,B,46,500,Urban,1,9.88,1
663,A,47,3604,Rural,1,2.66,0
664,A,56,1251,Urban,1,2.5,0
665,B,35,758,Rural,1,3.52,0
